,Age,Gender,MonthlyIncome,Department,NumCompaniesWorked,workingfromhome,BusinessTravel,DistanceFromHome,StandardHours,JobSatisfaction,complaintfiled,complaintyears,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Over18_Y,complaintresolved_N,complaintresolved_Y,Left
0,31,Female,low,Research & Development,1,0,Travel_Rarely,2,40,4,1,0.0,11,1,1,1,0,1,0,1,0
1,32,Male,low,Research & Development,0,0,Travel_Frequently,2,40,4,0,,13,2,8,7,3,1,0,0,0
2,34,Female,medium,Research & Development,3,1,Travel_Rarely,8,40,1,0,,14,3,7,0,0,1,0,0,0
3,49,Male,high,Research & Development,4,0,Travel_Rarely,1,40,3,0,,14,3,23,8,0,1,0,0,0
4,27,Male,medium,Research & Development,1,0,Travel_Rarely,19,40,1,0,,11,1,7,7,0,1,0,0,0
5,22,Male,low,Research & Development,0,1,Travel_Frequently,3,40,4,0,,11,1,1,0,0,1,0,0,1
6,31,Female,high,Research & Development,4,1,Non-Travel,10,40,3,0,,20,5,13,11,4,1,0,0,0
7,51,Male,medium,Sales,0,1,Travel_Rarely,21,40,4,0,,22,5,11,10,1,1,0,0,0
8,29,Male,low,Research & Development,0,1,Travel_Rarely,2,40,2,0,,23,5,6,5,0,1,0,0,0
9,32,Male,low,Research & Development,2,0,Non-Travel,5,40,2,0,,14,2,12,7,0,1,0,0,0
10,50,Male,high,Research & Development,3,0,Travel_Rarely,4,40,2,0,,14,2,28,10,1,1,0,0,0
11,31,Female,medium,Sales,1,1,Travel_Rarely,29,40,4,0,,14,3,13,12,5,1,0,0,0
12,46,Male,high,Research & Development,3,1,Travel_Rarely,2,40,4,0,,14,2,12,9,4,1,0,0,0
13,30,Male,medium,Sales,5,1,Travel_Rarely,8,40,3,0,,11,1,10,8,7,1,0,0,0
14,50,Male,medium,Sales,7,0,Travel_Rarely,8,40,2,0,,15,3,4,2,2,1,0,0,0
15,55,Male,high,Research & Development,1,0,Non-Travel,8,40,2,0,,15,3,34,33,15,1,0,0,0
16,30,Male,low,Sales,0,1,Travel_Rarely,7,40,2,0,,14,2,4,3,1,1,0,0,0
17,37,Male,low,Research & Development,0,1,Non-Travel,5,40,3,0,,14,3,7,6,1,1,0,0,0
18,29,Female,low,Research & Development,6,1,Travel_Rarely,10,40,1,0,,20,5,3,0,0,1,0,0,1
19,49,Male,high,Research & Development,3,1,Travel_Rarely,7,40,2,0,,14,3,29,8,0,1,0,0,0
20,26,Female,low,Research & Development,1,0,Travel_Frequently,1,40,3,0,,13,2,5,5,1,1,0,0,0
21,54,Female,medium,Research & Development,6,0,Travel_Rarely,10,40,1,0,,19,4,9,5,1,1,0,0,0
22,51,Male,high,Research & Development,2,0,Travel_Frequently,8,40,4,0,,15,3,18,4,0,1,0,0,1
23,45,Male,high,Research & Development,4,0,Travel_Rarely,6,40,1,0,,14,2,17,0,0,1,0,0,0
24,40,Male,medium,Sales,2,1,Travel_Rarely,22,40,3,1,2.0,12,1,8,6,1,1,0,1,1
25,35,Male,medium,Research & Development,1,1,Travel_Rarely,10,40,4,0,,20,5,3,3,1,1,0,0,0
26,27,Female,low,Research & Development,0,0,Travel_Rarely,6,40,3,1,1.0,12,2,6,5,0,1,0,1,0
27,27,Female,medium,Research & Development,7,0,Travel_Rarely,8,40,3,0,,17,4,5,3,0,1,0,0,0
28,56,Female,medium,Research & Development,4,0,Travel_Rarely,8,40,1,0,,18,4,19,2,2,1,0,0,0
29,28,Male,low,Research & Development,2,1,Travel_Rarely,1,40,1,0,,11,1,5,3,1,1,0,0,0
30,50,Male,low,Research & Development,4,0,Travel_Rarely,9,40,4,1,0.0,18,4,8,1,0,1,0,1,0
31,45,Female,low,Research & Development,3,0,Travel_Rarely,1,40,4,1,2.0,14,2,8,5,0,1,0,1,0
32,31,Male,medium,Sales,4,0,Travel_Rarely,6,40,3,0,,18,4,12,7,7,1,0,0,1
33,35,Male,medium,Research & Development,0,0,Travel_Rarely,5,40,2,1,0.0,13,2,17,16,0,1,1,0,0
34,23,Male,medium,Research & Development,1,0,Travel_Rarely,8,40,3,1,3.0,11,1,5,5,1,1,1,0,1
35,41,Male,high,Sales,1,0,Travel_Rarely,2,40,2,0,,19,4,22,22,0,1,0,0,0
36,27,Female,medium,Sales,1,0,Travel_Rarely,23,40,3,0,,21,5,9,9,5,1,0,0,0
37,39,Male,high,Research & Development,1,1,Travel_Frequently,1,40,3,1,2.0,14,3,21,21,1,1,1,0,0
38,48,Male,high,Research & Development,6,1,Travel_Rarely,1,40,4,1,,12,2,25,1,0,1,1,0,0
39,54,Male,high,Research & Development,4,1,Travel_Rarely,5,40,1,0,,11,1,24,4,1,1,0,0,0
40,50,Male,low,Sales,1,1,Travel_Rarely,3,40,3,0,,14,3,3,3,0,1,0,0,1
41,45,Female,medium,Sales,4,1,Travel_Rarely,4,40,1,0,,11,1,9,5,0,1,0,0,0
42,34,Male,medium,Research & Development,0,1,Travel_Frequently,3,40,4,0,,17,4,7,6,0,1,0,0,0
43,40,Female,high,Sales,4,1,Non-Travel,24,40,2,0,,16,3,22,1,0,1,0,0,1
44,22,Male,low,Research & Development,0,1,Travel_Rarely,6,40,3,0,,20,5,3,2,2,1,0,0,0
45,50,Male,high,Research & Development,2,0,Travel_Rarely,2,40,3,0,,11,1,29,8,7,1,0,0,0
46,37,Male,medium,Research & Development,4,1,Travel_Rarely,6,40,1,0,,13,2,13,7,6,1,0,0,0
47,24,Female,low,Research & Development,1,0,Travel_Frequently,7,40,3,0,,16,3,6,6,1,1,0,0,1
48,40,Male,medium,Research & Development,3,0,Non-Travel,8,40,4,0,,18,4,8,2,2,1,0,0,0
49,27,Male,low,Research & Development,9,0,Travel_Rarely,2,40,2,1,1.0,12,1,6,2,2,1,0,1,0
50,33,Female,low,Research & Development,1,1,Travel_Rarely,14,40,2,0,,13,2,8,8,1,1,0,0,0
51,30,Female,low,Research & Development,5,1,Travel_Rarely,3,40,1,0,,11,1,8,5,0,1,0,0,1
52,31,Female,high,Research & Development,1,1,Travel_Frequently,7,40,3,0,,24,5,10,10,8,1,0,0,0
53,36,Female,low,Research & Development,1,0,Travel_Frequently,18,40,4,0,,13,2,8,8,1,1,0,0,0
54,32,Male,low,Research & Development,1,0,Travel_Rarely,2,40,1,0,,14,3,4,4,1,1,0,0,0
55,46,Male,high,Sales,3,1,Travel_Rarely,3,40,3,1,1.0,12,1,23,12,4,1,0,1,0
56,55,Male,medium,Research & Development,3,1,Travel_Rarely,20,40,4,0,,19,4,12,10,0,1,0,0,0
57,58,Male,high,Sales,4,0,Non-Travel,2,40,2,0,,22,5,37,16,14,1,0,0,0
58,34,Male,medium,Research & Development,1,0,Travel_Frequently,22,40,4,0,,15,3,16,15,6,1,0,0,0
59,43,Male,high,Research & Development,4,0,Travel_Rarely,6,40,4,0,,14,3,21,1,0,1,0,0,0
60,31,Male,low,Research & Development,0,0,Non-Travel,9,40,1,0,,22,5,4,3,1,1,0,0,1
61,46,Male,high,Sales,4,0,Travel_Rarely,9,40,4,0,,11,1,28,7,4,1,0,0,1
62,28,Male,low,Research & Development,5,0,Travel_Rarely,17,40,4,0,,12,2,6,4,0,1,0,0,1
63,25,Male,medium,Research & Development,1,1,Non-Travel,5,40,1,1,2.0,12,2,6,6,1,1,0,1,0
64,35,Female,high,Research & Development,7,0,Travel_Rarely,22,40,2,0,,18,4,10,7,6,1,0,0,0
65,35,Male,medium,Research & Development,2,0,Non-Travel,2,40,4,0,,14,3,15,7,1,1,0,0,0
66,40,Female,high,Research & Development,9,1,Travel_Frequently,9,40,3,0,,17,4,20,18,2,1,0,0,0
67,52,Male,high,Sales,9,0,Travel_Rarely,5,40,2,0,,19,5,10,8,7,1,0,0,1
68,46,Male,medium,Human Resources,8,0,Travel_Rarely,5,40,2,0,,22,5,16,4,0,1,0,0,0
69,50,Male,high,Research & Development,2,0,Travel_Frequently,20,40,3,0,,15,3,32,30,12,1,0,0,0
70,27,Male,medium,Sales,1,0,Travel_Rarely,2,40,3,0,,11,1,5,5,0,1,0,0,0
71,55,Male,high,Research & Development,0,0,Travel_Rarely,1,40,1,0,,14,3,37,36,4,1,0,0,0
72,34,Male,medium,Research & Development,9,1,Travel_Rarely,1,40,4,0,,17,4,9,2,2,1,0,0,0
73,35,Female,high,Research & Development,1,1,Travel_Rarely,16,40,2,1,1.0,19,5,11,11,3,1,1,0,0
74,37,Female,low,Research & Development,1,1,Travel_Rarely,1,40,4,0,,12,2,17,17,5,1,0,0,0
75,33,Male,low,Research & Development,1,1,Non-Travel,1,40,3,0,,12,1,1,1,0,1,0,0,0
76,40,Female,medium,Research & Development,4,1,Travel_Rarely,1,40,4,0,,17,4,12,5,0,1,0,0,0
77,42,Male,low,Research & Development,3,0,Non-Travel,10,40,3,0,,22,5,10,6,3,1,0,0,0
78,30,Male,low,Research & Development,9,1,Travel_Frequently,4,40,4,0,,23,5,3,1,0,1,0,0,1
79,33,Female,medium,Sales,8,1,Non-Travel,2,40,2,0,,15,3,13,11,1,1,0,0,0
80,41,Female,medium,Sales,8,0,Travel_Rarely,1,40,4,0,,11,1,8,6,0,1,0,0,1
81,42,Male,high,Research & Development,1,1,Travel_Rarely,4,40,4,0,,11,1,22,22,11,1,0,0,0
82,29,Female,low,Research & Development,5,1,Travel_Rarely,25,40,2,0,,16,4,6,2,1,1,0,0,1
83,34,Female,medium,Sales,0,0,Travel_Rarely,24,40,2,0,,23,5,16,15,10,1,0,0,1
84,29,Female,low,Research & Development,1,0,Travel_Rarely,6,40,4,0,,13,2,10,10,0,1,0,0,0
85,22,Male,low,Research & Development,1,1,Travel_Rarely,5,40,2,0,,16,3,4,4,2,1,0,0,0
86,30,Female,medium,Research & Development,1,1,Travel_Rarely,28,40,4,1,0.0,13,2,11,10,1,1,1,0,0
87,45,Male,medium,Research & Development,4,0,Travel_Frequently,1,40,3,1,0.0,12,1,12,4,0,1,0,1,0
88,32,Female,high,Research & Development,3,0,Travel_Rarely,3,40,4,0,,15,3,10,7,7,1,0,0,0
89,47,Female,high,Research & Development,3,0,Travel_Rarely,2,40,3,0,,19,4,26,20,5,1,0,0,0
90,50,Male,low,Research & Development,1,0,Travel_Rarely,28,40,3,0,,11,1,20,20,3,1,0,0,0
91,31,Male,medium,Research & Development,1,0,Travel_Rarely,20,40,3,0,,11,1,10,10,0,1,0,0,0
92,30,Male,medium,Sales,1,0,Travel_Rarely,10,40,3,0,,18,4,10,10,1,1,0,0,0
93,31,Male,medium,Research & Development,6,0,Travel_Frequently,2,40,4,0,,13,2,7,2,2,1,0,0,1
94,30,Male,high,Sales,3,1,Travel_Rarely,29,40,2,0,,12,1,9,4,1,1,0,0,0
95,20,Male,low,Sales,1,1,Travel_Rarely,9,40,1,1,0.0,11,1,2,2,0,1,0,1,0
96,47,Male,medium,Research & Development,1,0,Travel_Frequently,16,40,3,0,,19,5,20,19,2,1,0,0,0
97,34,Male,medium,Research & Development,2,0,Travel_Frequently,2,40,3,0,,11,1,5,3,0,1,0,0,0
98,31,Male,medium,Human Resources,3,0,Travel_Rarely,2,40,1,1,1.0,12,1,9,2,1,1,0,1,0
99,41,Female,medium,Research & Development,3,0,Travel_Frequently,22,40,4,0,,14,3,12,6,3,1,0,0,0
100,37,Male,low,Research & Development,4,1,Travel_Rarely,19,40,2,0,,21,5,8,1,0,1,0,0,0
101,29,Female,medium,Sales,5,1,Travel_Frequently,13,40,2,0,,11,1,7,5,0,1,0,0,1
102,31,Male,medium,Sales,7,0,Travel_Frequently,2,40,1,0,,13,2,10,5,0,1,0,0,0
103,31,Female,high,Research & Development,3,1,Travel_Rarely,8,40,2,0,,11,1,9,3,1,1,0,0,0
104,18,Female,low,Sales,1,0,Travel_Rarely,10,40,3,1,,12,2,0,0,0,1,0,1,0
105,37,Female,high,Research & Development,1,0,Travel_Rarely,10,40,4,1,1.0,25,5,16,16,6,1,0,1,0
106,29,Female,medium,Sales,1,0,Travel_Rarely,10,40,2,0,,14,3,7,7,1,1,0,0,0
107,51,Female,low,Research & Development,0,0,Travel_Frequently,6,40,3,0,,14,3,8,7,7,1,0,0,0
108,38,Male,high,Sales,0,1,Travel_Rarely,14,40,2,0,,11,1,10,9,7,1,0,0,0
109,59,Female,medium,Sales,5,0,Travel_Rarely,3,40,4,0,,17,4,13,6,0,1,0,0,0
110,36,Female,low,Research & Development,1,0,Travel_Rarely,16,40,1,0,,16,4,18,17,15,1,0,0,1
111,46,Male,high,Research & Development,2,0,Travel_Frequently,1,40,1,0,,13,2,21,10,9,1,0,0,0
112,35,Male,low,Research & Development,1,0,Travel_Rarely,4,40,4,1,,12,1,1,1,0,1,0,1,0
113,36,Male,medium,Research & Development,6,0,Travel_Rarely,6,40,2,1,1.0,20,5,7,3,0,1,0,1,0
114,25,Male,low,Research & Development,7,1,Travel_Rarely,2,40,1,0,,13,2,6,4,0,1,0,0,0
115,55,Female,high,Research & Development,4,0,Travel_Rarely,2,40,3,0,,14,3,23,19,9,1,0,0,0
116,41,Female,medium,Research & Development,2,0,Non-Travel,2,40,3,0,,17,4,10,8,0,1,0,0,0
117,35,Female,high,Sales,1,1,Travel_Frequently,1,40,3,0,,14,3,10,10,0,1,0,0,0
118,33,Female,medium,Research & Development,1,0,Travel_Frequently,1,40,2,0,,13,2,6,6,1,1,0,0,0
119,20,Female,low,Sales,1,1,Travel_Rarely,2,40,3,0,,13,2,2,2,0,1,0,0,1
120,35,Male,medium,Sales,0,0,Travel_Rarely,16,40,2,0,,15,3,12,11,6,1,0,0,0
121,41,Male,high,Research & Development,4,0,Travel_Frequently,10,40,1,0,,13,2,21,7,7,1,0,0,0
122,19,Female,low,Research & Development,1,0,Non-Travel,10,40,2,0,,25,5,1,1,0,1,0,0,1
123,38,Female,medium,Research & Development,3,1,Travel_Rarely,2,40,3,0,,19,5,10,5,0,1,0,0,0
124,34,Male,medium,Sales,1,0,Travel_Rarely,8,40,3,0,,21,5,10,10,4,1,0,0,0
125,56,Female,high,Sales,9,0,Travel_Frequently,6,40,1,1,0.0,11,1,36,7,7,1,0,1,0
126,22,Male,low,Research & Development,1,0,Travel_Rarely,7,40,2,1,,23,5,1,1,0,1,0,1,1
127,30,Male,low,Research & Development,1,0,Travel_Rarely,7,40,2,0,,12,1,6,6,1,1,0,0,0
128,53,Male,high,Sales,6,0,Travel_Rarely,24,40,1,0,,13,2,15,2,2,1,0,0,1
129,60,Female,high,Research & Development,5,1,Travel_Rarely,7,40,1,0,,11,1,33,29,11,1,0,0,0
130,44,Male,low,Research & Development,4,1,Travel_Rarely,3,40,1,0,,12,1,10,3,1,1,0,0,1
131,45,Male,high,Research & Development,4,1,Travel_Rarely,29,40,4,1,0.0,18,4,10,3,1,1,1,0,0
132,31,Female,medium,Research & Development,0,1,Travel_Rarely,12,40,4,0,,11,1,10,9,8,1,0,0,0
133,32,Female,low,Research & Development,3,1,Travel_Frequently,5,40,3,0,,14,3,8,4,0,1,0,0,1
134,46,Female,high,Sales,1,0,Travel_Rarely,1,40,1,1,2.0,25,5,24,24,15,1,0,1,0
135,31,Female,medium,Research & Development,1,0,Travel_Rarely,24,40,1,0,,19,5,10,10,1,1,0,0,0
136,47,Female,medium,Sales,4,0,Travel_Frequently,27,40,3,1,1.0,12,1,8,5,1,1,0,1,1
137,27,Male,low,Research & Development,0,1,Travel_Rarely,3,40,4,0,,13,2,5,4,1,1,0,0,0
138,27,Female,low,Research & Development,1,1,Travel_Rarely,17,40,3,0,,13,2,8,8,7,1,0,0,1
139,34,Male,medium,Research & Development,1,1,Travel_Rarely,5,40,4,0,,14,2,15,15,4,1,0,0,0
140,49,Female,high,Research & Development,3,1,Travel_Rarely,22,40,2,0,,16,4,27,4,1,1,0,0,0
141,40,Male,low,Research & Development,3,1,Travel_Rarely,9,40,1,0,,14,3,15,5,1,1,0,0,1
142,36,Male,high,Research & Development,2,1,Travel_Rarely,9,40,2,0,,11,1,13,3,0,1,0,0,0
143,29,Male,medium,Research & Development,0,1,Travel_Rarely,1,40,1,0,,12,2,6,5,0,1,0,0,0
144,53,Male,high,Research & Development,4,1,Travel_Rarely,2,40,2,0,,12,1,35,9,8,1,0,0,0
145,30,Male,low,Sales,1,1,Travel_Frequently,12,40,1,1,,18,4,1,1,0,1,1,0,1
146,51,Male,high,Human Resources,1,0,Travel_Rarely,5,40,2,0,,11,1,33,33,0,1,0,0,0
147,40,Female,low,Research & Development,6,1,Travel_Rarely,2,40,3,0,,22,5,20,1,0,1,0,0,0
148,38,Female,low,Research & Development,7,1,Travel_Rarely,4,40,3,0,,19,4,7,0,0,1,0,0,0
149,21,Male,low,Sales,1,1,Travel_Rarely,5,40,1,0,,11,1,2,2,1,1,0,0,0
150,54,Female,high,Human Resources,2,0,Non-Travel,26,40,4,0,,12,2,23,5,4,1,0,0,0
151,48,Male,low,Research & Development,5,0,Travel_Rarely,2,40,2,0,,11,1,7,1,0,1,0,0,0
152,38,Female,low,Research & Development,3,0,Travel_Rarely,1,40,1,0,,17,4,8,0,0,1,0,0,0
153,50,Male,high,Research & Development,5,1,Travel_Rarely,2,40,3,0,,16,4,30,4,0,1,0,0,0
154,27,Female,medium,Research & Development,0,0,Travel_Rarely,2,40,4,0,,18,4,4,3,2,1,0,0,0
155,42,Male,low,Human Resources,0,1,Travel_Rarely,2,40,3,0,,11,1,4,3,1,1,0,0,0
156,29,Female,low,Research & Development,0,0,Travel_Frequently,10,40,2,0,,14,3,8,7,1,1,0,0,0
157,40,Female,medium,Research & Development,1,1,Travel_Frequently,11,40,3,0,,11,1,10,10,9,1,0,0,0
158,28,Male,low,Research & Development,0,1,Travel_Rarely,2,40,2,0,,17,4,6,5,0,1,0,0,0
159,38,Female,medium,Sales,1,0,Travel_Rarely,7,40,1,1,2.0,24,5,8,8,7,1,0,1,0
160,30,Female,high,Research & Development,9,0,Travel_Rarely,10,40,3,0,,14,3,9,7,0,1,0,0,0
161,41,Male,medium,Human Resources,6,0,Non-Travel,4,40,2,1,0.0,19,5,10,3,1,1,0,1,0
162,38,Male,high,Sales,0,0,Travel_Rarely,10,40,3,0,,14,3,9,8,2,1,0,0,0
163,38,Male,low,Human Resources,1,0,Travel_Rarely,1,40,3,1,2.0,13,2,7,7,5,1,1,0,0
164,37,Female,medium,Research & Development,1,1,Travel_Rarely,10,40,2,1,1.0,11,1,8,8,7,1,0,1,0
165,44,Female,low,Research & Development,1,1,Travel_Rarely,2,40,4,1,1.0,13,2,10,10,7,1,0,1,0
166,32,Female,medium,Research & Development,7,0,Travel_Rarely,2,40,4,1,2.0,16,4,10,7,0,1,0,1,0
167,36,Male,high,Sales,4,0,Travel_Frequently,3,40,4,0,,11,1,16,13,1,1,0,0,0
168,29,Male,medium,Sales,1,1,Travel_Frequently,2,40,4,1,2.0,18,4,10,10,0,1,1,0,0
169,53,Female,high,Research & Development,3,1,Travel_Rarely,7,40,3,0,,18,4,26,7,4,1,0,0,0
170,26,Female,medium,Sales,7,1,Travel_Rarely,23,40,4,0,,19,4,5,2,0,1,0,0,0
171,48,Male,high,Research & Development,2,1,Travel_Frequently,4,40,4,0,,25,5,23,2,2,1,0,0,0
